event_message,event_type,execution_id,function_id,id,level,timestamp
shutdown,Shutdown,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,43f3c47d-ec7c-4cdc-a756-39ae06358d20,log,1781471113223000
"[PPTX][DIAG-FINAL] engine=export-pptx-v7 version=7.0.0 slides=45 planned=3 fallback=2 status=exported
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,0eae5042-20c3-43dc-bc61-2a6f2bafbc9f,info,1781471113214000
"[V7-WRITE] bytes=6379149 slides=45 total_ms=131972
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,d6b750d3-4ae5-408e-a810-8e7b4a0decd5,info,1781471112188000
"[V7-IMAGES] resolved=11
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,ee2a4b27-9514-4fef-82e4-8add774bb57c,info,1781471110873000
"[V7-NORMALIZE] in=41 out=41 split=0 dropped=0
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,8485254d-e97e-4073-9b79-f7e179b941a7,info,1781471109778000
"[V7-PLAN] module ""Relacionamentos e Funções Avançadas"" JSON parse failed finishReason=MAX_TOKENS textLen=24074 → fallback
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,ce239a61-98e9-4ac0-b3a8-7b81d602f427,warning,1781471109774000
"[V7-PLAN] module ""Estrutura e Definição de Dados (DDL)"" JSON parse failed finishReason=MAX_TOKENS textLen=24141 → fallback
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,832e5c69-9208-406c-85c3-23897d97aec0,warning,1781471072325000
shutdown,Shutdown,874bbc83-626b-454e-8ca6-25352b2f193c,5d0ce925-7a2c-45db-9153-48e45a0ded6b,83f5c49c-ad7c-4bde-ac53-9940c00f90d4,log,1781471053277000
"[V7-PLAN] module ""Manipulação de Dados (DML)"" OK slides=7 finishReason=STOP
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,fd3b5173-15d5-47bb-97f7-25d848e039e5,info,1781471037442000
"[V7-PLAN] module ""Consultando Dados com SELECT"" OK slides=7 finishReason=STOP
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,b7907cb0-d1fd-4494-b7bf-0d35b1c80ff5,info,1781471018248000
"[V7-PLAN] module ""Configuração do Ambiente e Primeiros Passos"" OK slides=7 finishReason=STOP
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,cdf5580b-ae86-43db-92d0-05d8bcfa37e5,info,1781470997853000
"[V7] ENGINE=7.0.0 ""Introdução à linguagem SQL"" modules=5 llm=true images=true
",Log,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,d0d42c61-15bc-433f-b6f2-e47acba51ed7,info,1781470980217000
booted (time: 43ms),Boot,49793a5c-2603-4f91-aca1-992aa792c645,5d0ce925-7a2c-45db-9153-48e45a0ded6b,31ef1ccb-3033-4660-b707-19867b9d6126,log,1781470979638000
booted (time: 60ms),Boot,874bbc83-626b-454e-8ca6-25352b2f193c,5d0ce925-7a2c-45db-9153-48e45a0ded6b,f1a65fb9-c21d-4ff2-8969-79e3b91aea76,log,1781470978256000
shutdown,Shutdown,5f3fb778-ea40-46ec-a1e7-e603658b1218,5d0ce925-7a2c-45db-9153-48e45a0ded6b,80a7bec0-a16f-4e6b-8cf8-13515dd9656f,log,1781470838600000
"[PPTX][DIAG-FINAL] engine=export-pptx-v7 version=7.0.0 slides=54 planned=1 fallback=4 status=exported
",Log,5f3fb778-ea40-46ec-a1e7-e603658b1218,5d0ce925-7a2c-45db-9153-48e45a0ded6b,f244cf05-711f-4557-b5dc-62562d854863,info,1781470838593000
"[V7-WRITE] bytes=4990924 slides=54 total_ms=94215
",Log,5f3fb778-ea40-46ec-a1e7-e603658b1218,5d0ce925-7a2c-45db-9153-48e45a0ded6b,821ec64d-c2ed-4374-ac5a-a8ccc5e92c33,info,1781470837921000
"[V7-IMAGES] resolved=2
",Log,5f3fb778-ea40-46ec-a1e7-e603658b1218,5d0ce925-7a2c-45db-9153-48e45a0ded6b,99a2525a-116f-4489-af00-2971c62f63ce,info,1781470836037000
"[V7-NORMALIZE] in=48 out=48 split=0 dropped=0
",Log,5f3fb778-ea40-46ec-a1e7-e603658b1218,5d0ce925-7a2c-45db-9153-48e45a0ded6b,928d1987-e4b4-4618-a960-4767ed23eb49,info,1781470834743000
