event_message,event_type,execution_id,function_id,id,level,timestamp
shutdown,Shutdown,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,25a1d7bf-99d1-41f0-82e7-d4792266d9c1,log,1778300016285000
shutdown,Shutdown,30c894a7-9335-45fd-a089-8e33ba0e6cad,533e62c9-4529-43b4-863d-ed08e7072475,2a0aafc8-7b7d-418a-a836-7d3d5a034e9e,log,1778299989050000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=0 layout=bullets title=""Abertura de Arquivos"" itemsCount=5 leftCount=0 rightCount=0 firstItems=""Persistir dados é crucial para | A manipulação de arquivos perm""
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,de4d7ae4-d5cc-43fc-9805-4f5a2c8eae30,info,1778299974298000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_5 intent=takeaways layoutHint=takeaways title=""Principais Aprendizados"" items=5 steps=0 cards=0 hasCode=false
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,c23fa1c4-f9fa-4298-9ca9-355f32c48ce3,info,1778299974298000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_3 intent=concept layoutHint=bullets title=""Interagindo com APIs Web usando `requests`"" items=5 steps=0 cards=0 hasCode=false
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,8e4e87fe-cfd1-4b88-9479-93b04beedbf4,info,1778299974298000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=2 layout=bullets title=""Tratamento de Exceções com try-except-finally"" itemsCount=5 leftCount=0 rightCount=0 firstItems=""Exceções são eventos que inter | try-except captura e trata err""
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,d91c27b5-ae6c-43de-9524-df29ef41c3da,info,1778299974298000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=3 layout=code title=""Exemplo: Filtrando Nomes e Tratando Erros"" itemsCount=4 leftCount=0 rightCount=0 firstItems=""Lê nomes de um arquivo de entr | Filtra apenas os nomes que com""
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,54150183-bafc-4c7a-870b-3812cc07b190,info,1778299974298000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""PRINCIPAIS APRENDIZADOS""
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,31f104b5-e50f-45e3-b110-5dc3c858773c,info,1778299974298000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""CONCEITO""
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,3730d221-b921-4c2b-9f7a-f3c4dbbd6869,info,1778299974298000
"[MODULE-PLANNER] module=5 title=""Trabalhando com JSON e APIs Web"" slides=5 fatals=0 blockers=0 accepted=true
",Log,8072f711-fdb8-45ae-8217-f63b36451518,533e62c9-4529-43b4-863d-ed08e7072475,adf161fd-b35d-4507-88ea-2707f394e1b7,info,1778299974298000
