event_message,event_type,execution_id,function_id,id,level,timestamp
"[V5] Export error: ReferenceError: acceptedModuleNumbers is not defined
    at Object.handler (file:///var/tmp/sb-compile-edge-runtime/export-pptx-v4/index.ts:9713:135)
    at eventLoopTick (ext:core/01_core.js:175:7)
    at async mapped (ext:runtime/http.js:246:20)
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,c2b32479-090e-4e9d-b071-6550839806fe,error,1778273304909000
"[V5-UPLOAD] upload_ms=367 bytes=121818
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,2cbb46ed-b059-4681-b467-04ce680a7ec3,info,1778273304712000
"[V5-WRITE] repaired_bytes=121818 slides=53 | repair_ms=778
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,3bec6080-3121-4f48-b4b9-f1a01846bda4,info,1778273304345000
"[V5-WRITE] raw_bytes=1008853 | magic=80_75_3_4 | write_ms=666
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,0a7d42d8-d779-46f1-a7f9-68ccc8814c6e,info,1778273303567000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=3 layout=code title=""Exemplo: Requisição GET e Manipulação JSON"" sectionLabel=""CÓDIGO"" items=2 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,2854a119-1105-457a-ae0a-2841863bf506,info,1778273302779000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""CÓDIGO""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,d0c0cea6-3aaa-4b3e-841a-8ac242072083,info,1778273302779000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=4 layout=takeaways title=""Principais Aprendizados do Módulo"" sectionLabel=""PRINCIPAIS APRENDIZADOS"" items=3 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,de2185d7-a40f-42c9-9d8d-d9170de5c7dc,info,1778273302779000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=1 layout=comparison title=""Arquivos: Texto vs. Binário"" itemsCount=0 leftCount=4 rightCount=4 firstItems=""""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,0ebb299c-43a0-4934-bd66-59e7d5e29bda,info,1778273302778000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""CONCEITO""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,5f9d22eb-2525-4055-a94f-a402c27c2ad0,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=4 slideIdx=3 layout=code title=""Tratando Exceções com try-except-finally"" sectionLabel=""CÓDIGO"" items=3 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,c30c4d56-1637-4c5d-b5b2-585f23a65801,info,1778273302778000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=false reason=label_ends_with_stopword promotionDetected=true original=""COMPARAÇÃO"" → fallback=""CONTEÚDO""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,8f94e189-c0ab-45fd-9da0-5db1b8f91f8c,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=2 layout=bullets title=""Interagindo com APIs Web: A Biblioteca Requests"" sectionLabel=""CONCEITO"" items=5 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,25c41851-40f3-4f27-9088-889d9ce43b0f,info,1778273302778000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=false reason=label_ends_with_stopword promotionDetected=true original=""COMPARAÇÃO"" → fallback=""CONTEÚDO""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,995551d7-7e6c-4fca-8d79-c7622a24e00e,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=4 layout=takeaways title=""Principais Aprendizados do Módulo"" itemsCount=4 leftCount=0 rightCount=0 firstItems=""Ler e escrever dados em arquiv | Aplicar with open() para geren""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,c2c5225f-ddfa-4000-bcdb-8ca155e7c98c,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=3 layout=code title=""Tratando Exceções com try-except-finally"" itemsCount=3 leftCount=0 rightCount=0 firstItems=""Encapsule códigos propensos a  | Capture exceções específicas c""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,f31698e6-302d-4dfc-b42f-1fc7e7f201db,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=4 slideIdx=4 layout=takeaways title=""Principais Aprendizados do Módulo"" sectionLabel=""PRINCIPAIS APRENDIZADOS"" items=4 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,e50cfa45-189f-4258-aa5b-376de27317ac,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=4 slideIdx=2 layout=bullets title=""Manipulando Arquivos em Python"" sectionLabel=""PROCESSO"" items=5 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,417f714c-c14b-40ac-abee-2c160ab9fb8a,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=0 layout=bullets title=""JSON: O Formato Padrão para Dados Web"" sectionLabel=""CONCEITO"" items=5 leftItems=0 rightItems=0
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,36ab0728-0b22-4d17-8287-c034fa333b8f,info,1778273302778000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""PROCESSO""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,e1f273f5-9f31-4528-b2aa-417f5c622e0a,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_3 intent=concept layoutHint=bullets title=""Interagindo com APIs Web: A Biblioteca Requests"" items=5 steps=0 cards=0 hasCode=false
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,b8cff706-641a-4c06-acbe-0a8960274cd8,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=1 layout=comparison title=""JSON em Python: Serializar e Desserializar"" sectionLabel=""COMPARAÇÃO"" items=0 leftItems=3 rightItems=3
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,c2dc3b14-9754-4ad5-97f3-90db767870e4,info,1778273302778000
"[MODULE-PLANNER] module=5 title=""Trabalhando com JSON e APIs Web"" slides=5 fatals=0 blockers=0 accepted=true
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,14ffc250-03a3-4a9d-9110-0de3ada9baf3,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=0 layout=bullets title=""Persistência e Robustez: Por Que São Cruciais?"" itemsCount=5 leftCount=0 rightCount=0 firstItems=""Manipulação de arquivos permit | Programas salvam informações, ""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,fc0212c2-8ddb-43d3-9339-3df0fa310e2a,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_1 intent=concept layoutHint=bullets title=""JSON: O Formato Padrão para Dados Web"" items=5 steps=0 cards=0 hasCode=false
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,8fc6fc2e-20c5-4262-bbe2-afdb6e2bdc9c,info,1778273302778000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=2 layout=bullets title=""Manipulando Arquivos em Python"" itemsCount=5 leftCount=0 rightCount=0 firstItems=""Use a função open() para criar | Escolha o modo de abertura ade""
",Log,5ee9d18c-e74d-496c-b7c6-563fe44f8c0a,533e62c9-4529-43b4-863d-ed08e7072475,e6360855-d61f-4f1d-859c-24db1e59d002,info,1778273302778000
