event_message,event_type,execution_id,function_id,id,level,timestamp
shutdown,Shutdown,d5f3dc8b-45ff-4b01-a87f-5dea4eecb6e7,533e62c9-4529-43b4-863d-ed08e7072475,7770cad8-c1bf-409d-a3c5-c0f0a6379cb6,log,1778270304193000
shutdown,Shutdown,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,c142590c-b0bc-4644-bdcc-8b3f3dcd3c25,log,1778270291866000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=2 layout=code title=""Exemplo: Requisições HTTP e Conversão JSON"" sectionLabel=""CÓDIGO"" items=3 leftItems=0 rightItems=0
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,384c381a-eb39-4b20-b5b6-a9dcc9c2ad41,info,1778270258501000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""CÓDIGO""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,009de336-9e61-4fab-a7df-e4710472fed3,info,1778270258501000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=5 slideIdx=0 layout=bullets title=""O que é JSON?"" sectionLabel=""CONCEITO"" items=5 leftItems=0 rightItems=0
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,ce091a41-effd-4206-8e83-a433fb5df8a8,info,1778270258500000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""PROCESSO""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,d6bc34b2-22b3-4840-ba5a-9c3de75a5dbe,info,1778270258500000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""CÓDIGO""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,04eb853b-9fcf-48c7-b3ee-a9f82687c0b8,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=2 layout=bullets title=""Operações Essenciais com Arquivos"" itemsCount=4 leftCount=0 rightCount=0 firstItems=""Use a função open() para criar | Escolha o modo de abertura ade""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,7516318c-9837-4514-9caf-29e0b870de0c,info,1778270258500000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""CONCEITO""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,99e1b6d3-5895-482e-93d7-88b473a264e7,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_2 intent=concept layoutHint=bullets title=""Interagindo com APIs Web"" items=5 steps=0 cards=0 hasCode=false
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,17d36b7c-8de1-4ffc-a575-980018063870,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_4 intent=takeaways layoutHint=takeaways title=""Principais Aprendizados"" items=5 steps=0 cards=0 hasCode=false
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,d4445b52-7539-4e0e-adae-0a5b01c81be3,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=3 layout=code title=""Tratando Erros Comuns em Arquivos"" itemsCount=4 leftCount=0 rightCount=0 firstItems=""Encapsule códigos propensos a  | Use except para capturar exceç""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,978784fd-259a-4aae-8cd5-8decb7822edf,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=rendererInput module=4 slideIdx=0 layout=bullets title=""Persistência e Robustez"" itemsCount=5 leftCount=0 rightCount=0 firstItems=""Manipular arquivos permite per | É crucial para salvar informaç""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,05527760-9ed5-4d1d-8011-f31eaa279cf9,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=presentationPlan slideId=module_5_slide_1 intent=concept layoutHint=bullets title=""O que é JSON?"" items=5 steps=0 cards=0 hasCode=false
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,c6bafd81-8c5d-479d-bf74-133092531b02,info,1778270258500000
"[LAYOUT-REGION-DEBUG] slide=? field=slide_label accepted=true promotionDetected=false label=""PRINCIPAIS APRENDIZADOS""
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,8ee2c3ab-e0aa-4849-afe2-9c15b452dae1,info,1778270258500000
"[SLIDE-BINDING-DEBUG] stage=v5SlideLike module=4 slideIdx=2 layout=bullets title=""Operações Essenciais com Arquivos"" sectionLabel=""PROCESSO"" items=4 leftItems=0 rightItems=0
",Log,ff0374d7-a460-4a89-bd55-b5ffbe81eeee,533e62c9-4529-43b4-863d-ed08e7072475,6e650a85-635a-41a0-89c2-78ccda48f523,info,1778270258500000
