event_message,event_type,execution_id,function_id,id,level,timestamp
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,30275582-7c93-4d57-8808-8020b7b00983,info,1783554237360000
"[generate-course] Refinement truncated for module 1 → retry (12000 tokens)
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,2627af6d-3d2a-4d10-8f38-5c195057c413,warning,1783554237360000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,d07241c6-e6bf-4f4a-aa36-8bb66bf88f5e,info,1783554234907000
"[generate-course] Refinement truncated for module 5 → retry (12000 tokens)
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,78ef6d65-98dc-4157-a0b8-33d005a42a0e,warning,1783554234907000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,cfa24008-24fb-4e03-8cd9-a2dc379f17a1,info,1783554202653000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,635ea07a-9a5c-4d4e-b413-699f8669fd2e,info,1783554202413000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,e26f356b-aeb1-4381-bd03-22290d459c99,info,1783554202311000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,67e77ca5-e5e2-4702-8fd7-6af35597764a,info,1783554202264000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,b07d60e2-51c3-42cf-a6d9-9cb2cef41b60,info,1783554201914000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,505cced1-fa76-4c08-846f-58370e6a4ce0,info,1783554182632000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,0e6a5db5-c90b-429a-ab08-f501c1af27ee,info,1783554182631000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,4fe8210c-d43d-4db9-b0b0-f7114ad048c6,info,1783554182631000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,eda9ad9e-3381-41ce-b725-404544a96ae9,info,1783554182631000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,144afa93-5849-4a16-8554-b310e812bd2d,info,1783554182630000
"Calling Gemini API directly with model: gemini-2.5-flash
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,da44e44f-b693-4d77-8e2d-9ca5a5eaf513,info,1783554166891000
"[generate-course] BUILD=2026-07-08a-quality-fixes outcome=treinamento level=basico
",Log,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,0b9675c7-36f1-4eec-a78b-85f5010fea0c,info,1783554166793000
booted (time: 32ms),Boot,acc9377b-2ca0-4d1f-99a0-f08a660cf8d3,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,10988162-36e5-4dde-a6ba-89bc1510fcb6,log,1783554166594000
booted (time: 30ms),Boot,820c5feb-a2fa-4fde-9f5e-633038110460,0d6debb0-4d5c-44bc-bf16-4edbf7b03e21,7555e912-bb35-4e6b-af79-8abe9ef00f85,log,1783554165735000
